c1,c2,u1,u2,t
19,32,0.39886,0.64697,2
19,34,0.39358,0.6938,3
19,35,0.39062,0.71118,4
19,36,0.38784,0.73058,12
19,37,0.38692,0.75147,9
19,38,0.38835,0.76748,7
19,39,0.39156,0.7892,8
19,40,0.39097,0.81089,7
19,41,0.39216,0.83064,9
19,42,0.39087,0.84533,11
20,3,0.41112,0.06802,2
20,4,0.40855,0.09069,11
20,5,0.40681,0.11109,6
20,6,0.41405,0.13251,6
20,7,0.41353,0.14855,7
20,8,0.41163,0.17433,2
20,9,0.4065,0.19102,6
20,14,0.41661,0.29157,2
20,15,0.40963,0.30775,9
20,16,0.40919,0.33295,8
20,17,0.41438,0.35101,7
20,18,0.41161,0.37068,8
20,19,0.40849,0.39039,9
20,20,0.41233,0.40712,5
20,21,0.41188,0.42918,7
20,22,0.41031,0.45289,7
20,23,0.4141,0.47096,6
20,24,0.41052,0.48738,6
20,25,0.41052,0.51007,5
20,26,0.4077,0.53097,5
20,27,0.41625,0.55617,2
20,28,0.41475,0.5708,5
20,29,0.40557,0.58733,8
20,30,0.41235,0.60917,6
20,31,0.41284,0.63082,9
20,32,0.40993,0.65134,7
20,33,0.41146,0.67247,4
20,34,0.41291,0.6896,4
20,35,0.41113,0.7098,7
20,36,0.41115,0.73196,7
20,37,0.40876,0.74896,17
20,38,0.41187,0.7727,7
20,39,0.41152,0.78816,10
20,40,0.40529,0.80705,8
20,41,0.40686,0.8267,8
20,42,0.41168,0.8451,3
21,3,0.42482,0.06873,2
21,4,0.42691,0.09,4
21,5,0.43107,0.11202,3
21,6,0.43057,0.13169,7
21,7,0.42975,0.14794,12
21,8,0.42811,0.17306,5
21,9,0.4314,0.19668,2
21,10,0.42922,0.20931,2
21,13,0.42239,0.27577,1
21,14,0.43576,0.2924,4
21,15,0.43067,0.30983,9
21,16,0.43155,0.3308,9
21,17,0.42775,0.34904,4
21,18,0.4303,0.36856,13
21,19,0.43443,0.39104,6
21,20,0.42756,0.40773,7
21,21,0.42876,0.43086,10
21,22,0.42472,0.44967,5
21,23,0.43024,0.46848,5
21,24,0.42932,0.49054,9
21,25,0.43026,0.51415,5
21,26,0.42803,0.5286,8
21,27,0.42984,0.55022,7
21,28,0.42593,0.57509,3
21,29,0.42967,0.59448,4
21,30,0.42964,0.61155,5
21,31,0.43025,0.63135,10
21,32,0.42625,0.65054,6
21,33,0.43018,0.66861,4
21,34,0.43213,0.68877,2
21,35,0.42892,0.70942,5
21,36,0.42735,0.73067,9
21,37,0.42549,0.74851,5
21,38,0.42915,0.77234,6
21,39,0.43097,0.7903,16
21,40,0.4317,0.80826,6
21,41,0.43075,0.82629,5
21,42,0.43434,0.84735,4
21,43,0.42182,0.86055,1
21,46,0.43385,0.93454,2
22,0,0.44177,0.01932,1
22,3,0.45032,0.071,9
22,4,0.45016,0.09144,11
22,5,0.44976,0.10988,9
22,6,0.44491,0.12975,7
22,7,0.45037,0.15053,4
22,8,0.45242,0.1697,13
22,9,0.45039,0.18671,8
22,10,0.44834,0.20102,3
22,14,0.44389,0.28703,3
22,15,0.44505,0.3089,6
22,16,0.44735,0.3268,5
22,17,0.44433,0.35542,3
22,18,0.4482,0.37515,2
22,19,0.44597,0.3934,5
22,20,0.4456,0.41093,2
22,21,0.4448,0.43106,2
22,22,0.44456,0.45404,7
22,23,0.44468,0.47037,4
22,24,0.44621,0.4918,6
22,25,0.44258,0.50848,3
22,26,0.44554,0.52946,3
22,27,0.44642,0.54837,3
22,28,0.44619,0.56804,5
22,29,0.44234,0.58949,4
22,30,0.44732,0.61182,6
22,31,0.44546,0.62962,8
22,32,0.44709,0.64972,4
22,33,0.446,0.67896,4
22,34,0.44658,0.69143,7
22,35,0.44775,0.70939,4
22,36,0.44193,0.72646,2
22,37,0.44668,0.74962,6
22,38,0.44714,0.77104,6
22,39,0.44434,0.78988,7
22,40,0.44596,0.81253,7
22,41,0.44492,0.82987,3
22,42,0.4471,0.84874,8
22,43,0.45401,0.86114,1
22,44,0.45489,0.88781,3
23,3,0.46799,0.07541,4
23,4,0.46908,0.09,6
23,5,0.4704,0.10467,5
23,6,0.46643,0.12945,9
23,7,0.47501,0.15175,7
23,8,0.47074,0.17061,13
23,9,0.46848,0.1863,9
23,27,0.47725,0.54487,1
23,34,0.47826,0.6865,1
23,35,0.47216,0.71587,1
23,43,0.469,0.86528,2
23,44,0.46026,0.89428,2
23,45,0.46747,0.91501,3
23,46,0.47358,0.93165,1
24,0,0.49734,0.0124,1
24,2,0.49928,0.04942,1
24,3,0.48821,0.07359,5
24,4,0.48747,0.09233,9
24,5,0.49028,0.11098,7
24,6,0.48523,0.12609,3
24,7,0.48857,0.1488,9
24,8,0.48787,0.17504,6
24,9,0.49155,0.18783,10
24,10,0.49949,0.2063,1
24,11,0.49972,0.22304,1
24,12,0.49963,0.24286,2
24,16,0.48556,0.33644,1
24,20,0.49994,0.41012,1
24,23,0.49112,0.46502,3
24,36,0.49468,0.72357,1
24,46,0.49014,0.93175,8
25,2,0.5199,0.05667,1
